cuentaPares,cuentaPares2,cuentaPares3
0.904594,0.196323,0.312691
0.132302,0.147215,0.159293
0.063705,0.105609,0.224561
0.101558,0.100512,0.168086
0.078857,0.079807,0.152019
0.086468,0.106740,0.220673
0.109685,0.115786,0.156858
0.094479,0.144754,0.154593
0.063052,0.067752,0.148977
0.063734,0.060935,0.151110
0.066635,0.065382,0.149832
0.062181,0.049734,0.204603
0.062511,0.051912,0.137770
0.059636,0.051946,0.140563
0.060720,0.046059,0.137722
0.094728,0.074628,0.203426
0.085446,0.098615,0.138129
0.057301,0.046205,0.142332
0.060787,0.043682,0.137851
0.061703,0.049115,0.141188
0.058286,0.045909,0.141783
0.095648,0.045772,0.139972
0.058703,0.044608,0.146848
0.057285,0.055033,0.151900
0.074694,0.063598,0.183730
0.071381,0.052678,0.145152
0.066588,0.046168,0.151924
0.064691,0.046486,0.170651
0.085669,0.078016,0.200163
0.086607,0.078669,0.201659
0.075083,0.054072,0.199358
0.077736,0.062740,0.200409
0.074076,0.061014,0.205267
0.066914,0.058059,0.196105
0.074448,0.055984,0.204193
0.067711,0.051834,0.189896
0.068258,0.055688,0.191069
0.071943,0.052893,0.193305
0.066928,0.052796,0.186980
0.061926,0.051556,0.191679
0.065501,0.051693,0.195801
0.071524,0.056190,0.187760
0.068884,0.061803,0.191016
0.074840,0.050936,0.186334
0.079919,0.051646,0.189842
0.064850,0.049868,0.168554
0.051787,0.032679,0.136023
0.065383,0.066911,0.194084
0.068097,0.058042,0.188508
0.069493,0.054489,0.194065
0.073196,0.052830,0.197434
0.067302,0.055135,0.195028
0.066982,0.054754,0.179710
0.065337,0.036148,0.194978
0.063166,0.051569,0.196475
0.067107,0.053921,0.195577
0.068125,0.048952,0.187905
0.066425,0.049191,0.183078
0.063260,0.049859,0.192773
0.067244,0.052966,0.188025
0.065923,0.052727,0.193968
0.067135,0.051275,0.194868
0.070070,0.056643,0.198171
0.071759,0.065038,0.198312
0.069549,0.052400,0.188896
0.069022,0.047894,0.191379
0.072398,0.049603,0.189336
0.071027,0.058957,0.183165
0.066532,0.048772,0.185801
0.064519,0.051041,0.184955
0.065340,0.050130,0.173633
0.065199,0.050146,0.183867
0.094326,0.044541,0.182878
0.065905,0.045920,0.191097
0.063305,0.043635,0.175401
0.063768,0.043802,0.178236
0.061829,0.047881,0.180430
0.057602,0.045175,0.185635
0.059457,0.044031,0.183873
0.064711,0.047693,0.175443
0.061869,0.046160,0.172413
0.062898,0.043305,0.180657
0.062120,0.047673,0.173124
0.046662,0.033812,0.128449
0.041568,0.030466,0.125543
0.045817,0.030173,0.128166
0.064350,0.047356,0.179923
0.065756,0.049022,0.191663
0.060934,0.046800,0.183587
0.063545,0.049281,0.190327
0.063850,0.046487,0.185834
0.062961,0.050872,0.186555
0.064915,0.049593,0.184974
0.060525,0.048102,0.175627
0.047477,0.041571,0.174140
0.042883,0.033729,0.127682
0.060482,0.044320,0.173387
0.065761,0.048972,0.179470
0.060733,0.043392,0.181284
0.062406,0.048999,0.178827
