cuentaPares,cuentaPares2,cuentaPares3
0.102559,0.166153,0.375808
0.100139,0.169662,0.378571
0.098368,0.157681,0.335872
0.105659,0.173545,0.374056
0.103082,0.165498,0.380585
0.094875,0.164747,0.381312
0.095771,0.169068,0.378051
0.099767,0.165962,0.376455
0.096254,0.171488,0.374429
0.100801,0.170064,0.389019
0.098748,0.172026,0.330576
0.108554,0.155761,0.289744
0.087535,0.152140,0.368263
0.098248,0.163174,0.363110
0.094181,0.315973,0.379154
0.095263,0.163547,0.379837
0.097505,0.185104,0.350091
0.095045,0.161945,0.368370
0.091847,0.162097,0.365287
0.090058,0.154829,0.347954
0.086772,0.160480,0.350134
0.090992,0.191985,0.354896
0.091770,0.162339,0.359661
0.101820,0.163022,0.386128
0.094328,0.159215,0.384118
0.095632,0.165855,0.384369
0.116705,0.125140,0.394725
0.087734,0.107556,0.395677
0.083912,0.105696,0.391474
0.086565,0.117047,0.391284
0.088163,0.106196,0.389793
0.087471,0.104240,0.395452
0.089285,0.109904,0.398624
0.081684,0.104698,0.391248
0.129151,0.110418,0.382662
0.085905,0.107415,0.384167
0.080250,0.097181,0.358754
0.084449,0.103548,0.368706
0.083539,0.106319,0.359024
0.076285,0.106147,0.355634
0.080140,0.098235,0.354261
0.082585,0.098653,0.360908
0.080572,0.107124,0.360315
0.083629,0.105309,0.362552
0.080817,0.100324,0.360808
0.080902,0.101264,0.363561
0.084199,0.108947,0.361955
0.080537,0.098698,0.365373
0.082797,0.099856,0.362831
0.081950,0.103183,0.365316
0.078926,0.103093,0.368597
0.081627,0.099638,0.366175
0.078614,0.102685,0.364400
0.078775,0.102408,0.360226
0.079780,0.098456,0.364851
0.081810,0.103851,0.360777
0.074687,0.105234,0.348158
0.095128,0.108647,0.372033
0.101337,0.105526,0.344407
0.080820,0.104126,0.322210
0.083073,0.097755,0.353126
0.076811,0.103275,0.329349
0.077466,0.101518,0.374748
0.076107,0.100331,0.368242
0.064802,0.081446,0.356293
0.079702,0.100956,0.368836
0.079711,0.104380,0.369082
0.078727,0.103342,0.335819
0.111301,0.127752,0.353468
0.096049,0.120347,0.368098
0.101001,0.116051,0.365832
0.089290,0.109207,0.349323
0.087896,0.128105,0.374381
0.095738,0.112544,0.331293
0.090962,0.116634,0.340246
0.100268,0.109515,0.361333
0.098260,0.130866,0.348363
0.097532,0.113739,0.344444
0.091696,0.128940,0.343479
0.105877,0.118479,0.352066
0.120080,0.236141,0.356113
0.096029,0.106798,0.357663
0.092945,0.117956,0.353112
0.092979,0.121015,0.370221
0.097094,0.114944,0.356789
0.084393,0.106754,0.350382
0.093499,0.106120,0.346734
0.087835,0.113754,0.340272
0.086833,0.112411,0.351046
0.099536,0.106363,0.338784
0.087747,0.109275,0.340754
0.100967,0.105743,0.348676
0.086252,0.108879,0.350589
0.089691,0.106434,0.335294
0.088222,0.120188,0.322608
0.089658,0.103251,0.350826
0.091397,0.116793,0.347377
0.093871,0.093458,0.352202
0.071573,0.095204,0.350942
0.072984,0.095333,0.349838
