cuentaPares,cuentaPares2,cuentaPares3
0.120807,0.091217,0.724621
0.118739,0.074640,0.170525
0.117895,0.089772,0.150274
0.118955,0.090564,0.145036
0.121587,0.097117,0.152206
0.084395,0.057614,0.079237
0.082545,0.056059,0.080565
0.075989,0.061058,0.106905
0.117192,0.090847,0.133707
0.127084,0.095545,0.136873
0.115378,0.073307,0.104694
0.118538,0.072213,0.149794
0.125105,0.076833,0.148199
0.125176,0.125789,0.148716
0.119090,0.078043,0.142573
0.128842,0.077442,0.150369
0.164223,0.071677,0.152666
0.117925,0.081157,0.140072
0.146823,0.069481,0.143366
0.111835,0.072085,0.136255
0.113108,0.072599,0.179251
0.110487,0.065582,0.151101
0.117223,0.064698,0.151493
0.110448,0.068806,0.156688
0.111441,0.064858,0.143998
0.105684,0.062738,0.152884
0.110358,0.069584,0.146713
0.120514,0.075452,0.155238
0.107556,0.061769,0.148347
0.114097,0.071078,0.151604
0.107306,0.064966,0.152811
0.104637,0.063187,0.320803
0.105177,0.064532,0.148516
0.108643,0.079217,0.145555
0.097658,0.059166,0.079128
0.088313,0.044180,0.225026
0.078186,0.040351,0.078168
0.090066,0.046848,0.083083
0.102540,0.062969,0.123124
0.099544,0.042024,0.241123
0.068261,0.039892,0.078006
0.081622,0.082437,0.132899
0.126102,0.067892,0.140702
0.115290,0.062723,0.424557
0.134811,0.068073,0.152068
0.054257,0.071275,0.148810
0.053604,0.063024,0.155045
0.054385,0.086921,0.465224
0.057748,0.049968,0.146908
0.059550,0.048697,0.113428
0.059129,0.048495,0.453619
0.065447,0.090153,0.464621
0.071926,0.044558,0.497146
0.062116,0.055216,0.422057
0.065306,0.048240,0.419461
0.056458,0.045826,0.411318
0.051475,0.030503,0.284863
0.053837,0.044152,0.402936
0.053349,0.041124,0.431859
0.060060,0.047294,0.435073
0.066840,0.050271,0.432564
0.066719,0.046712,0.426583
0.056123,0.043283,0.437989
0.056176,0.041044,0.434262
0.054504,0.043827,0.433843
0.066236,0.049836,0.360760
0.068956,0.044045,0.009228
0.066588,0.048961,0.012246
0.060977,0.045923,0.009929
0.063324,0.047034,0.010561
0.070855,0.072676,0.011293
0.065729,0.050448,0.011055
0.051731,0.042062,0.011234
0.048579,0.047417,0.011737
0.051615,0.040285,0.009734
0.053523,0.043101,0.011637
0.095019,0.043916,0.009182
0.083795,0.046843,0.009780
0.055175,0.048869,0.011668
0.052014,0.048610,0.011849
0.061475,0.049844,0.011060
0.068559,0.046969,0.014822
0.054388,0.046539,0.011396
0.068625,0.046381,0.011109
0.055681,0.043544,0.011410
0.058035,0.044297,0.011400
0.056390,0.043701,0.011018
0.049679,0.039796,0.009555
0.047060,0.038919,0.010503
0.061559,0.044879,0.010162
0.063164,0.036494,0.010069
0.056692,0.050810,0.009205
0.048698,0.041359,0.009235
0.064727,0.045012,0.109111
0.101258,0.067382,0.009863
0.063821,0.071674,0.009306
0.060458,0.099293,0.009552
0.055639,0.043404,0.010961
0.049369,0.041975,0.011179
0.043441,0.026814,0.006694
