cuentaPares,cuentaPares2,cuentaPares3
0.143327,0.194218,1.434264
0.137995,0.197996,1.490582
0.149064,0.188071,1.454958
0.138750,0.183435,1.305821
0.152076,0.211900,1.471817
0.141749,0.184918,1.440946
0.144199,0.195723,1.549810
0.146002,0.201893,1.494716
0.148475,0.210510,1.515978
0.230298,0.342849,1.461414
0.222249,0.265202,1.442785
0.203465,0.216717,1.460137
0.191764,0.229040,1.463141
0.166734,0.198354,1.477948
0.156687,0.207388,1.466304
0.144786,0.187632,0.921164
0.108568,0.141680,0.834815
0.110718,0.146935,1.044939
0.119191,0.158771,0.862448
0.120245,0.147068,0.830006
0.106472,0.144319,0.983201
0.152142,0.173049,0.867085
0.115043,0.164322,0.911217
0.111983,0.153629,0.839110
0.110716,0.150706,0.887788
0.113374,0.150679,0.930852
0.108940,0.145963,0.947599
0.176268,0.266862,0.895496
0.146582,0.180589,0.847473
0.153886,0.162735,1.055420
0.137187,0.182558,0.847262
0.131768,0.163715,1.061713
0.128372,0.157921,0.847842
0.122102,0.159353,0.842402
0.121038,0.160203,0.876275
0.147651,0.155582,1.373221
0.163843,0.180369,0.848776
0.127115,0.184457,0.956472
0.140532,0.164909,0.886443
0.132978,0.175345,0.966148
0.123529,0.156728,0.863842
0.174709,0.210789,0.975556
0.146812,0.174549,1.334039
0.127106,0.155454,0.837293
0.123587,0.154815,0.879177
0.119967,0.158725,0.849516
0.116843,0.154719,0.836070
0.189518,0.244508,1.571979
0.177653,0.227751,1.574298
0.172999,0.227014,1.633490
0.192637,0.248420,1.631130
0.185640,0.230826,1.600509
0.180821,0.225080,1.723689
0.199415,0.259758,1.760303
0.193389,0.236885,1.724886
0.190766,0.245852,1.722240
0.200569,0.241414,1.681090
0.206642,0.244489,1.775717
0.203422,0.255739,1.770276
0.189916,0.274632,1.775659
0.203339,0.252562,1.720512
0.190942,0.248893,1.658391
0.197676,0.248987,1.770676
0.189679,0.239560,1.686644
0.195281,0.251102,1.644300
0.189181,0.244534,1.768483
0.201394,0.250809,1.685088
0.201007,0.255842,1.695546
0.204583,0.260681,1.709042
0.180873,0.242758,1.733395
0.172094,0.227411,1.816369
0.187829,0.241065,1.647548
0.198433,0.250268,1.646912
0.187969,0.235752,1.715073
0.184532,0.249936,2.178500
0.233573,0.245405,1.861144
0.201696,0.248025,1.912459
0.190793,0.238266,1.873451
0.188627,0.252412,1.922056
0.182819,0.248465,1.959476
0.182688,0.250005,1.798585
0.180361,0.232179,1.723833
0.172750,0.237217,1.693049
0.163288,0.211730,1.608445
0.165861,0.208115,1.234556
0.127108,0.159951,0.868198
0.116519,0.154771,1.377878
0.164753,0.219142,1.669218
0.194365,0.241303,1.647872
0.117441,0.168868,0.884436
0.117350,0.156754,0.933979
0.131722,0.160299,0.919189
0.123301,0.161254,1.320191
0.118710,0.155009,0.879632
0.181754,0.229846,1.633651
0.171778,0.230645,1.211012
0.135081,0.165919,0.870193
0.114612,0.148546,0.877032
0.161068,0.215154,0.857001
0.117990,0.152476,0.861211
